日付,実施_行事_1年,実施_行事_2年,実施_行事_3年,実施_行事_4年,実施_行事_5年,実施_行事_6年,実施_児童会_1年,実施_児童会_2年,実施_児童会_3年,実施_児童会_4年,実施_児童会_5年,実施_児童会_6年,実施_クラブ_4年,実施_クラブ_5年,実施_クラブ_6年,実施_委員会_5年,実施_委員会_6年,実施_授業_1年,実施_授業_2年,実施_授業_3年,実施_授業_4年,実施_授業_5年,実施_授業_6年,実施_日計_1年,実施_日計_2年,実施_日計_3年,実施_日計_4年,実施_日計_5年,実施_日計_6年,実施_1校時_1年,実施_1校時_2年,実施_1校時_3年,実施_1校時_4年,実施_1校時_5年,実施_1校時_6年,実施_2校時_1年,実施_2校時_2年,実施_2校時_3年,実施_2校時_4年,実施_2校時_5年,実施_2校時_6年,実施_3校時_1年,実施_3校時_2年,実施_3校時_3年,実施_3校時_4年,実施_3校時_5年,実施_3校時_6年,実施_4校時_1年,実施_4校時_2年,実施_4校時_3年,実施_4校時_4年,実施_4校時_5年,実施_4校時_6年,実施_5校時_1年,実施_5校時_2年,実施_5校時_3年,実施_5校時_4年,実施_5校時_5年,実施_5校時_6年,実施_6校時_1年,実施_6校時_2年,実施_6校時_3年,実施_6校時_4年,実施_6校時_5年,実施_6校時_6年,計画_行事_1年,計画_行事_2年,計画_行事_3年,計画_行事_4年,計画_行事_5年,計画_行事_6年,計画_児童会_1年,計画_児童会_2年,計画_児童会_3年,計画_児童会_4年,計画_児童会_5年,計画_児童会_6年,計画_クラブ_4年,計画_クラブ_5年,計画_クラブ_6年,計画_委員会_5年,計画_委員会_6年,計画_授業_1年,計画_授業_2年,計画_授業_3年,計画_授業_4年,計画_授業_5年,計画_授業_6年,計画_日計_1年,計画_日計_2年,計画_日計_3年,計画_日計_4年,計画_日計_5年,計画_日計_6年,計画_1校時_1年,計画_1校時_2年,計画_1校時_3年,計画_1校時_4年,計画_1校時_5年,計画_1校時_6年,計画_2校時_1年,計画_2校時_2年,計画_2校時_3年,計画_2校時_4年,計画_2校時_5年,計画_2校時_6年,計画_3校時_1年,計画_3校時_2年,計画_3校時_3年,計画_3校時_4年,計画_3校時_5年,計画_3校時_6年,計画_4校時_1年,計画_4校時_2年,計画_4校時_3年,計画_4校時_4年,計画_4校時_5年,計画_4校時_6年,計画_5校時_1年,計画_5校時_2年,計画_5校時_3年,計画_5校時_4年,計画_5校時_5年,計画_5校時_6年,計画_6校時_1年,計画_6校時_2年,計画_6校時_3年,計画_6校時_4年,計画_6校時_5年,計画_6校時_6年
2025/04/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025/04/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025/04/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025/04/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025/04/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025/04/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025/04/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025/04/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,3,3,3,3,3,　,行,行,行,行,行,　,○,○,○,○,○,,○,○,○,○,○,,,,,　,　,行,,,　,　,　,○,,,　,　,　
2025/04/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,5,5,5,4,5,5,5,5,5,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,○,○,○,○,○,,,,,,
2025/04/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,5,5,4,4,4,4,5,5,5,5,5,○,○,○,行,行,行,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,○,○,○,○,○,,,,,,
2025/04/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,6,6,6,4,5,5,6,6,6,行,行,行,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,○,○,○,○,○,,,,○,○,○
2025/04/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,○,○,○,,,,行,,,,,,,行,,,,,,,行,,,,,,,,,,,,,　,　,　
2025/04/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,○,○,○,,,,行,,,,,,,行,,,,,,,行,,,,,,,,,,,,
2025/04/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,5,5,5,4,5,5,5,5,5,行,行,行,行,行,行,行,○,○,○,○,○,○,行,○,○,○,○,○,○,○,○,○,○,,○,○,○,○,○,,,,,,
2025/04/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,1,1,3,4,3,4,4,4,4,5,5,6,6,6,行,行,行,行,行,行,○,○,行,行,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,○,○,○,○,○,,,,○,委,委
2025/04/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,6,6,6,4,5,6,6,6,6,行,行,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,○,○,○,○,○,,,○,○,○,○
2025/04/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,6,6,6,4,5,6,6,6,6,○,○,○,○,○,○,○,○,○,○,行,○,○,○,○,○,○,行,○,○,○,○,○,○,,○,○,○,○,○,,,○,○,○,○
2025/04/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,5,5,6,5,5,4,5,5,6,6,6,行,○,○,○,行,行,○,○,行,○,○,○,○,○,○,行,○,○,○,○,○,○,○,○,,○,○,○,○,○,,,,○,○,○
2025/04/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,○,○,○,○,○,○,○,○,○,○,行,○,,,,,,行,,,,,,,,,,,,,,,,,,
2025/04/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,○,○,○,,,,行,,行,,,,,行,,,,,,,,,,,,,,,,,,,,,,
2025/04/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,○,,○,,,,行,,,,,,,,行,,,,,,,,,,,,,,,,,,,
2025/04/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,5,5,5,4,5,5,5,5,5,○,○,○,○,○,○,○,○,○,○,○,○,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,○,○,○,,,,,,
2025/04/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,6,6,6,4,5,6,6,6,6,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,○,○,○,○,○,,,○,○,○,○
2025/04/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,3,4,5,5,5,5,4,5,6,6,6,6,児,児,児,児,児,児,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,○,○,○,○,○,,,○,○,○,○
2025/04/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,5,6,6,4,5,5,6,6,6,行,○,○,行,○,○,行,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,○,○,○,○,○,,,,○,○,○
2025/04/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025/04/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025/04/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,5,5,5,4,5,5,5,5,5,○,○,○,○,○,○,行,行,行,行,行,行,○,○,○,○,○,○,○,○,○,○,○,○,,○,○,○,○,○,,,,,,
2025/04/29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025/04/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,6,6,6,4,5,6,6,6,6,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,○,○,○,○,○,,,○,○,○,○
2025/05/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,4,5,5,5,5,4,5,6,6,6,6,行,行,行,行,行,行,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,○,○,○,○,○,,,○,○,○,○
2025/05/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,4,4,5,5,5,4,5,5,6,6,6,行,行,行,行,行,行,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,○,○,○,○,○,,,,○,○,○
2025/05/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025/05/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025/05/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025/05/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025/05/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,5,5,5,5,4,5,5,5,6,6,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,○,○,○,○,○,,,,,委,委
2025/05/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,4,5,5,5,5,4,5,6,6,6,6,行,行,行,行,行,行,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,○,○,○,○,○,,,○,○,○,○
2025/05/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,6,5,5,4,5,5,6,5,5,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,○,○,○,○,○,,,,○,,
2025/05/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025/05/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,○,,,,,,,,,,,,行,,,,,,,,,,,,,,,,,,,,
2025/05/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,○,○,○,○,○,○,○,○,○,○,○,○,行,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,
2025/05/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,6,6,6,5,5,5,6,6,6,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,行,○,○,○,○,○,○,○,○,行,○,○,,,,○,○,○
2025/05/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,5,5,5,5,6,6,行,行,行,行,行,行,○,○,○,○,行,行,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,○,○
2025/05/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,6,6,6,5,5,6,6,6,6,行,○,行,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,○,○,○,○
2025/05/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,6,○,○,○,○,○,行,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,○
2025/05/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,行,行,行,行,行,行,行,行,行,行,行,行,行,行,行,行,行,行,行,行,行,行,行,行,,,,,,,,,,,,
2025/05/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025/05/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,○,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,
2025/05/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,6,6,6,5,5,5,6,6,6,○,○,○,○,○,○,行,行,行,行,行,行,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,○,○,○
2025/05/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,5,6,6,6,5,5,5,6,6,6,6,行,○,○,○,○,行,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,○,○,○,○
2025/05/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,6,6,6,5,5,6,6,6,6,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,○,○,○,○
2025/05/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,5,6,6,5,5,5,6,6,6,行,○,○,行,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,○,○,○
2025/05/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,○,○,○,○,○,○,行,行,行,行,行,行,,,,,,,,,,,,,,,,,,,,,,,,
2025/05/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
